DEPARTAMEN,sum
AMAZONAS,437430.97539804847
ANCASH,1193278.4862631438
APURIMAC,437036.7395107066
AREQUIPA,1586824.7366719397
AYACUCHO,808074.9915110779
CAJAMARCA,1572673.9853366707
CALLAO,951061.1428525795
CUSCO,1407704.7911218586
HUANCAVELICA,590064.2718682315
HUANUCO,920233.5312088922
ICA,903914.838082361
JUNIN,1612124.273047216
LA LIBERTAD,2108558.0194314844
LAMBAYEQUE,1341766.566109923
LIMA,1.1536513002894392E7
LORETO,1176989.7503923646
MADRE DE DIOS,184610.14402208224
MOQUEGUA,202098.363048586
PASCO,371859.7421460355
PIURA,2033619.6669399156
PUNO,1599564.5774175634
SAN MARTIN,1037433.4114938205
TACNA,388071.2774634713
TUMBES,255728.23752641174
UCAYALI,625524.8317695617
